"","predictor_variable","response_variable","lower_limit","mean","upper_limit"
"105","zmean","snowshoe_hares",16.7329949161095,22.16419266087,27.5953904056304
"106","zq20","black_bears",14.1970269142789,18.115,22.0329730857211
"107","zq20","blacktailed_deer",14.3172268322216,17.5706666666667,20.8241065011118
"108","zq20","bobcats",6.4533765348776,13.21,19.9666234651224
"109","zq20","cougars",11.623547811453,20.7933333333333,29.9631188552136
"110","zq20","mammals",13.9808656433976,17.1447368421053,20.3086080408129
"111","zq20","snowshoe_hares",9.23237487235428,14.6957142857143,20.1590536990743
"112","zq50","black_bears",21.4939700372969,25.4158333333333,29.3376966293698
"113","zq50","blacktailed_deer",21.7513772756902,24.6486666666667,27.5459560576431
"114","zq50","bobcats",11.0954256288035,20.925,30.7545743711965
"115","zq50","cougars",18.879560900706,26.9166666666667,34.9537724326274
"116","zq50","mammals",21.1060048329074,24.2921052631579,27.4782056934084
"117","zq50","snowshoe_hares",17.0229803535684,23.1514285714286,29.2798767892888
"118","zq70","black_bears",25.6053955611764,29.2466666666667,32.8879377721569
"119","zq70","blacktailed_deer",26.1986528755757,28.928,31.6573471244243
"120","zq70","bobcats",14.5977475277547,25.8425,37.0872524722453
"121","zq70","cougars",22.4995563175536,30.66,38.8204436824464
"122","zq70","mammals",25.2962983096672,28.4621052631579,31.6279122166486
"123","zq70","snowshoe_hares",21.2375776829359,27.2771428571429,33.3167080313498
"124","zq95","black_bears",33.4049460085486,37.03725,40.6695539914514
"125","zq95","blacktailed_deer",34.3474212578767,37.4124666666667,40.4775120754566
"126","zq95","bobcats",20.4761563326825,34.0325,47.5888436673175
"127","zq95","cougars",29.3423024493609,39.6066666666667,49.8710308839724
"128","zq95","coyotes",27.3487770624922,32.755,38.1612229375078
"129","zq95","mammals",33.1559669169684,36.7361578947368,40.3163488725053
"130","zq95","snowshoe_hares",28.8280591262217,34.9057142857143,40.9833694452069
"131","zsd","black_bears",7.14005074961823,8.28534622317887,9.43064169673951
"132","zsd","blacktailed_deer",7.39672633565857,8.40693101164702,9.41713568763547
"133","zsd","bobcats",5.52092695140387,8.76340596177935,12.0058849721548
"134","zsd","cougars",5.02877843869094,7.89633960746787,10.7639007762448
"135","zsd","coyotes",6.93855774455303,8.30238037181708,9.66620299908113
"136","zsd","mammals",7.42619478116038,8.34557008052621,9.26494537989204
"137","zsd","snowshoe_hares",7.35923304792537,8.76574294113859,10.1722528343518
